feature,decile,n,feat_lo,feat_hi,p_up,lift
body,1,12544,-0.015765575679827153,-0.0011505640960081818,0.48278061224489793,-0.030253507653061285
body,2,12544,-0.0011505588428665351,-0.0006141345427059713,0.4966517857142857,-0.01638233418367352
body,3,12544,-0.0006141039200300228,-0.00032499187520311994,0.5183354591836735,0.005301339285714302
body,4,12544,-0.00032497427287006444,-0.00013472247170828093,0.5242346938775511,0.011200573979591844
body,5,12544,-0.00013472247170828093,2.146014850422765e-05,0.5237563775510204,0.010722257653061229
body,6,12544,2.1472129176329125e-05,0.00018875492532383268,0.5244738520408163,0.011439732142857095
body,7,12544,0.00018875937898164315,0.0003702687877125617,0.5139508928571429,0.0009167729591836871
body,8,12544,0.00037030941408821595,0.0006328553166175149,0.5141103316326531,0.001076211734693855
body,9,12544,0.0006329113924050633,0.0011219624142591222,0.5137117346938775,0.0006776147959183243
body,10,12544,0.0011219640971488912,0.021837811311495522,0.5183354591836735,0.005301339285714302
range,1,12544,0.0,0.0005068937550689375,0.5341198979591837,0.02108577806122447
range,2,12544,0.0005068974256852166,0.0006536604987932422,0.5255102040816326,0.012476084183673408
range,3,12544,0.0006536765830795121,0.0008069882349609956,0.5274234693877551,0.014389349489795866
range,4,12544,0.0008070210834258045,0.0009679605072113057,0.5177774234693877,0.004743303571428492
range,5,12544,0.000967962792454612,0.0011589626444504166,0.5137117346938775,0.0006776147959183243
range,6,12544,0.0011589634231143665,0.0013918422578774407,0.502311862244898,-0.010722257653061229
range,7,12544,0.0013918593203652782,0.0017017404929992755,0.5114795918367347,-0.0015545280612244694
range,8,12544,0.0017017655817911082,0.0021699525395407126,0.5066167091836735,-0.006417410714285698
range,9,12544,0.00216998191681736,0.0030369290573372208,0.4997608418367347,-0.013273278061224525
range,10,12544,0.0030370663351791164,0.03288987435328899,0.4916294642857143,-0.021404655612244916
body_frac,1,12544,0.0,0.09770114942528736,0.5154655612244898,0.0024314413265306145
body_frac,2,12544,0.09770114942528736,0.19148936170212766,0.5229591836734694,0.009925063775510168
body_frac,3,12544,0.19148936170212766,0.28,0.5115593112244898,-0.0014748086734693855
body_frac,4,12544,0.28,0.36796536796536794,0.5098852040816326,-0.003148915816326592
body_frac,5,12544,0.368,0.45,0.5158641581632653,0.002830038265306034
body_frac,6,12544,0.45,0.5306122448979592,0.5121970663265306,-0.0008370535714286031
body_frac,7,12544,0.5306122448979592,0.6129032258064516,0.5137117346938775,0.0006776147959183243
body_frac,8,12544,0.6129032258064516,0.7,0.5099649234693877,-0.003069196428571508
body_frac,9,12544,0.7,0.8,0.5087691326530612,-0.004264987244897989
