rank,slice,hv,regime,avg_range,mean_vol,vol_range,volume
1,2020-03,62.76,high,5.521,3.196,7.942,15353529
2,2022-05,34.59,high,3.063,1.731,4.006,15696746
3,2022-06,30.14,high,2.658,1.538,3.768,12743567
4,2022-11,30.09,high,2.263,1.376,4.885,13124928
5,2020-04,29.65,high,2.683,1.492,3.809,9050932
6,2020-09,28.4,high,2.755,1.495,4.206,12987766
7,2022-04,28.29,high,2.533,1.531,3.596,12872576
8,2022-02,27.68,high,2.683,1.406,4.038,14010707
9,2022-10,27.0,high,2.732,1.406,3.489,15925803
10,2022-03,26.88,high,2.444,1.458,2.411,13181769
11,2018-12,26.23,high,2.333,1.199,4.306,12462376
12,2022-01,24.56,high,2.702,1.273,3.924,16649741
13,2021-03,24.54,high,2.188,1.24,2.245,13052666
14,2024-08,23.85,high,2.242,1.158,4.456,13013321
15,2022-09,23.77,high,2.385,1.183,4.923,15008024
16,2020-02,23.51,high,1.861,1.001,4.287,15540642
17,2020-10,22.7,high,1.878,1.119,2.648,13393961
18,2018-02,22.65,high,1.943,1.105,3.509,10357147
19,2018-10,22.47,high,2.045,1.015,3.66,16641451
20,2024-07,22.35,high,1.754,1.029,3.262,15343164
21,2022-07,21.45,high,2.217,1.155,1.832,12241361
22,2023-02,21.16,high,1.862,1.096,2.114,12220758
23,2022-08,20.78,high,1.82,0.962,3.275,14209504
24,2019-08,20.51,high,1.836,1.02,2.457,13640470
25,2021-12,20.07,high,1.814,1.053,2.759,12310455
26,2024-09,19.73,high,1.692,0.844,2.922,10098903
27,2018-11,19.61,high,1.73,0.987,2.176,12919063
28,2020-06,19.45,high,1.907,0.925,3.431,9361891
29,2024-12,19.31,high,1.582,0.948,4.231,10923996
30,2020-11,19.04,high,1.791,0.909,3.529,10267092
31,2021-01,18.99,high,1.802,0.965,3.767,10174343
32,2015-08,18.89,high,1.44,0.838,3.638,7403507
33,2022-12,18.46,high,2.033,0.969,2.532,11581492
34,2019-01,18.27,high,1.441,0.887,2.846,10832444
35,2023-01,18.08,high,1.891,0.988,1.811,12308282
36,2020-07,18.07,high,1.969,0.994,2.613,12204377
37,2021-02,17.72,high,1.75,0.766,3.173,10772215
38,2018-03,17.49,high,1.571,0.856,3.244,10765359
39,2016-01,17.12,high,1.81,0.854,1.868,8219688
40,2024-04,17.01,high,1.701,0.888,2.003,15747099
41,2021-05,16.97,high,1.58,0.786,2.314,10546259
42,2023-03,16.78,medium,1.814,0.919,1.872,15385728
43,2023-10,16.77,medium,1.626,0.899,1.963,16870823
44,2018-04,16.57,medium,1.577,0.849,2.262,10186845
45,2020-05,16.55,medium,1.88,0.834,1.644,9142724
46,2023-08,15.89,medium,1.524,0.814,2.67,15140530
47,2024-11,15.5,medium,1.408,0.68,2.13,10564316
48,2019-05,15.1,medium,1.37,0.771,1.797,12951846
49,2024-10,14.97,medium,1.403,0.699,1.653,11200780
50,2024-02,14.87,medium,1.279,0.717,1.62,13149620
51,2024-01,14.82,medium,1.303,0.679,1.545,13870683
52,2023-05,14.62,medium,1.251,0.724,2.024,14311417
53,2023-06,14.38,medium,1.414,0.772,1.494,12721135
54,2024-03,13.81,medium,1.281,0.699,1.74,13526956
55,2021-11,13.63,medium,1.247,0.673,1.707,11796230
56,2015-09,13.45,medium,1.373,0.668,1.602,6420766
57,2023-04,13.36,medium,1.268,0.562,2.07,11621857
58,2020-08,13.34,medium,1.351,0.773,1.642,9456616
59,2016-06,13.26,medium,0.893,0.534,3.201,5303871
60,2020-01,13.14,medium,1.121,0.633,2.008,12184128
61,2016-02,13.08,medium,1.424,0.646,1.684,6808865
62,2021-04,12.9,medium,1.164,0.699,1.288,10080946
63,2023-07,12.6,medium,1.231,0.555,1.717,12133492
64,2023-09,12.51,medium,1.301,0.612,1.325,12178883
65,2023-11,12.46,medium,1.207,0.612,1.707,12603600
66,2019-06,12.39,medium,1.124,0.629,1.446,8213413
67,2021-09,12.15,medium,1.207,0.518,2.416,11737761
68,2015-12,12.04,medium,1.021,0.626,1.597,5290854
69,2021-10,11.66,medium,1.317,0.672,2.004,11162965
70,2019-10,11.63,medium,1.151,0.624,1.544,9501648
