rank,slice,hv,regime,avg_range,mean_vol,vol_range,volume
1,2020Q1,39.79,high,2.909,1.655,9.78,43078299
2,2022Q2,30.85,high,2.755,1.601,4.085,41312889
3,2022Q1,26.23,high,2.6,1.383,4.568,43842217
4,2022Q4,25.58,high,2.343,1.25,4.885,40632223
5,2018Q4,22.55,high,2.027,1.061,4.732,42022890
6,2022Q3,22.49,high,2.13,1.095,5.068,41458889
7,2020Q2,22.37,high,2.157,1.085,4.448,27555547
8,2024Q3,21.79,high,1.903,1.016,4.849,38455388
9,2020Q3,20.97,high,2.024,1.086,4.695,34648759
10,2021Q1,20.57,high,1.931,1.007,3.81,33999224
11,2023Q1,18.54,high,1.853,0.996,2.13,39914768
12,2020Q4,17.93,high,1.565,0.818,3.629,31331969
13,2018Q1,16.79,high,1.415,0.784,4.12,28108568
14,2024Q4,16.52,high,1.463,0.775,4.231,32689092
15,2021Q4,15.49,medium,1.465,0.803,2.883,35269650
16,2024Q1,14.33,medium,1.288,0.698,1.856,40547259
17,2015Q3,14.11,medium,1.219,0.639,3.701,18922864
18,2023Q2,14.05,medium,1.311,0.689,2.188,38654409
19,2019Q3,14.03,medium,1.294,0.676,2.906,29721662
20,2023Q3,13.88,medium,1.36,0.668,3.016,39452905
21,2023Q4,13.78,medium,1.306,0.695,2.489,40304184
22,2024Q2,13.69,medium,1.36,0.669,2.178,39555982
23,2021Q2,13.3,medium,1.248,0.654,2.359,29729164
24,2016Q1,13.16,medium,1.325,0.6,2.301,19918798
25,2019Q1,12.85,medium,1.112,0.578,2.962,27761296
26,2019Q2,12.31,medium,1.061,0.58,1.978,29321221
27,2018Q2,11.77,medium,1.166,0.57,2.485,24974697
28,2021Q3,10.32,low,1.071,0.482,2.615,32762366
29,2015Q4,10.1,low,0.905,0.491,1.832,15490220
30,2016Q2,9.9,low,0.844,0.445,3.241,15116803
31,2018Q3,9.0,low,0.911,0.445,1.668,22921693
32,2015Q1,8.82,low,0.844,0.441,1.524,16015270
33,2019Q4,8.41,low,0.861,0.427,1.781,22871609
34,2017Q2,8.13,low,0.676,0.353,2.505,17171040
35,2015Q2,7.9,low,0.724,0.379,1.005,13256853
36,2017Q3,7.47,low,0.722,0.35,1.448,18783578
37,2016Q4,7.4,low,0.77,0.346,3.283,13807568
38,2016Q3,6.53,low,0.608,0.296,1.584,13462723
39,2017Q4,6.27,low,0.617,0.27,1.377,17291178
40,2017Q1,4.28,low,0.482,0.23,1.101,11993637
