rank,year,hv,regime,avg_range,mean_vol,vol_range,volume
1,2020,26.52,high,2.158,1.157,9.78,136614574
2,2022,26.34,high,2.454,1.33,5.068,167246218
3,2024,16.84,high,1.506,0.791,4.889,151247721
4,2018,15.89,high,1.379,0.714,5.006,118027848
5,2021,15.26,medium,1.424,0.734,4.045,131760404
6,2023,15.19,medium,1.456,0.761,3.084,158326266
7,2019,12.05,medium,1.082,0.565,3.23,109675788
8,2015,10.49,low,0.924,0.488,3.84,63685207
9,2016,9.53,low,0.882,0.42,3.297,62305892
10,2017,6.68,low,0.625,0.301,2.505,65239433
