year,trading_days,volume,pct_of_all,mean_vol,hv,vol_range,avg_range
2005,246,68466549,3.567,0.208,4.18,0.875,0.455
2006,251,77402833,4.032,0.263,5.43,0.993,0.546
2007,254,92367511,4.812,0.341,7.21,1.834,0.642
2008,256,105421819,5.492,0.616,13.99,4.386,1.226
2009,252,75391003,3.927,0.367,7.58,1.974,0.791
2010,252,76952673,4.009,0.334,7.42,4.693,0.719
2011,252,71788743,3.74,0.472,10.22,3.521,0.907
2012,254,60099615,3.131,0.348,7.34,1.547,0.685
2013,253,56361097,2.936,0.294,6.08,1.456,0.588
2014,252,71277866,3.713,0.364,7.73,1.886,0.718
2015,253,63685207,3.318,0.488,10.49,3.84,0.924
2016,252,62305892,3.246,0.42,9.53,3.297,0.882
2017,251,65239433,3.398,0.301,6.68,2.505,0.625
2018,251,118027848,6.148,0.714,15.89,5.006,1.379
2019,252,109675788,5.713,0.565,12.05,3.23,1.082
2020,253,136614574,7.117,1.157,26.52,9.78,2.158
2021,252,131760404,6.864,0.734,15.26,4.045,1.424
2022,251,167246218,8.712,1.33,26.34,5.068,2.454
2023,251,158326266,8.248,0.761,15.19,3.084,1.456
2024,252,151247721,7.879,0.791,16.84,4.889,1.506
