rank,date,avg_range,regime,mean_vol,volume
1,2020-03-16,10.274,high,8.357,424860
2,2020-03-12,9.745,high,7.583,440335
3,2020-03-13,9.653,high,6.736,440335
4,2020-03-20,7.532,high,3.06,562616
5,2020-03-23,7.005,high,0.158,633237
6,2020-03-19,6.219,high,0.675,516046
7,2022-09-13,6.074,high,4.642,718899
8,2022-11-10,6.03,high,5.722,862147
9,2020-03-17,5.926,high,3.502,563210
10,2022-02-24,5.683,high,2.762,1122732
11,2020-03-18,5.68,high,1.844,512012
12,2020-03-02,5.677,high,2.948,1373357
13,2020-03-26,5.465,high,3.589,567711
14,2020-03-24,5.456,high,5.648,556553
15,2022-05-05,5.353,high,4.188,877795
16,2024-08-05,5.341,high,2.753,937137
17,2020-09-03,5.328,high,4.088,931583
18,2018-12-26,5.319,high,4.37,642440
19,2020-04-06,5.189,high,4.781,396874
20,2020-03-09,5.154,high,4.996,560913
21,2020-03-10,5.063,high,3.468,982070
22,2022-01-24,5.039,high,0.429,1323080
23,2022-06-16,5.037,high,3.311,831750
24,2022-05-18,4.934,high,4.129,735386
25,2022-04-26,4.92,high,3.216,755330
26,2020-09-04,4.871,high,1.734,1202274
27,2020-02-27,4.859,high,4.089,1527204
28,2020-03-30,4.858,high,2.716,419576
29,2024-12-18,4.803,high,3.561,723296
30,2022-10-13,4.746,high,1.77,843525
31,2018-02-05,4.506,high,3.397,931677
32,2021-01-27,4.396,high,2.353,786471
33,2022-10-27,4.395,high,1.493,769071
34,2018-02-06,4.314,high,2.348,813419
35,2020-03-03,4.311,high,1.815,1295648
36,2022-08-26,4.281,high,3.402,753862
37,2024-08-08,4.266,high,2.838,663957
38,2018-10-29,4.247,high,1.609,905327
39,2024-08-01,4.217,high,2.328,920616
40,2020-11-04,4.197,high,3.461,842617
41,2020-06-11,4.172,high,3.705,81807
42,2022-05-11,4.138,high,2.521,865890
43,2018-10-10,4.131,high,3.614,924204
44,2022-05-20,4.112,high,0.254,806781
45,2015-08-24,4.101,high,2.774,746533
46,2022-05-04,4.095,high,2.74,703191
47,2020-03-11,4.08,high,2.986,990236
48,2022-01-26,4.074,high,0.104,908549
49,2020-11-09,4.064,high,1.719,731881
50,2022-11-02,4.015,high,2.784,770983
51,2018-10-24,3.981,high,3.062,895420
52,2020-02-28,3.979,high,0.634,1527204
53,2022-10-28,3.926,high,2.479,728261
54,2022-11-30,3.918,high,3.554,769082
55,2020-09-08,3.916,high,3.451,1012392
56,2022-01-20,3.913,high,1.08,1041723
57,2022-10-14,3.895,high,2.481,843525
58,2022-04-29,3.821,high,3.759,723386
59,2020-09-09,3.818,high,2.362,23934
60,2022-03-09,3.803,high,2.855,645327
61,2022-03-07,3.794,high,3.153,717846
62,2020-03-25,3.783,high,0.841,656698
63,2024-09-03,3.776,high,2.971,698442
64,2020-03-04,3.771,high,2.717,939032
65,2018-03-27,3.76,high,2.197,731553
66,2021-02-25,3.759,high,2.953,894521
67,2022-10-07,3.755,high,3.122,759141
68,2024-07-31,3.754,high,2.754,762246
69,2022-12-22,3.748,high,2.022,714500
70,2015-08-26,3.743,high,2.605,637925
71,2020-04-21,3.739,high,2.285,582449
72,2024-08-07,3.722,high,1.089,725244
73,2022-06-13,3.712,high,3.739,737529
74,2022-04-21,3.705,high,1.651,732255
75,2022-12-13,3.704,high,0.886,759557
76,2020-07-13,3.697,high,1.749,736178
77,2020-03-06,3.675,high,1.277,1097279
78,2022-02-23,3.645,high,2.144,713187
79,2022-03-16,3.615,high,3.017,651016
80,2021-02-23,3.605,high,0.201,873273
81,2024-09-11,3.604,high,1.985,729344
82,2020-04-01,3.596,high,3.328,411364
83,2022-03-11,3.589,high,1.803,389782
84,2024-12-20,3.584,high,0.837,844404
85,2022-01-25,3.577,high,2.094,957800
86,2022-02-28,3.561,high,0.278,753711
87,2020-02-25,3.549,high,2.008,1344897
88,2016-06-24,3.548,high,2.701,497350
89,2016-11-09,3.543,high,0.232,719499
90,2021-12-16,3.541,high,2.213,789654
91,2022-05-13,3.54,high,2.894,663517
92,2022-06-10,3.529,high,2.925,381026
93,2022-01-28,3.529,high,2.611,878243
94,2022-06-28,3.529,high,2.49,634694
95,2022-12-15,3.498,high,2.875,665526
96,2023-08-24,3.49,high,1.918,847308
97,2022-03-08,3.485,high,0.332,841407
