slice,year,month,trading_days,volume,pct_of_all,mean_vol,hv,vol_range,avg_range
2005-01,2005,1,14,4934992,0.2571,0.28,5.39,0.499,0.518
2005-02,2005,2,19,6146733,0.3202,0.236,4.78,0.587,0.492
2005-03,2005,3,22,6925224,0.3608,0.195,3.83,0.429,0.494
2005-04,2005,4,21,7255557,0.378,0.286,5.51,0.753,0.552
2005-05,2005,5,21,5732308,0.2986,0.168,2.52,0.442,0.406
2005-06,2005,6,22,5826768,0.3035,0.182,3.45,0.506,0.458
2005-07,2005,7,20,4894941,0.255,0.195,3.56,0.875,0.434
2005-08,2005,8,23,5163337,0.269,0.158,3.26,0.51,0.417
2005-09,2005,9,21,5216835,0.2718,0.175,3.65,0.445,0.395
2005-10,2005,10,21,6581566,0.3429,0.295,5.68,0.8,0.52
2005-11,2005,11,21,5285526,0.2753,0.165,3.38,0.532,0.387
2005-12,2005,12,21,4502762,0.2346,0.193,4.12,0.556,0.419
2006-01,2006,1,20,6626257,0.3452,0.281,6.18,0.952,0.539
2006-02,2006,2,19,5794119,0.3018,0.285,5.23,0.438,0.532
2006-03,2006,3,23,7030656,0.3662,0.242,5.36,0.634,0.516
2006-04,2006,4,19,5457341,0.2843,0.217,4.34,0.633,0.481
2006-05,2006,5,22,7379807,0.3844,0.318,5.92,0.797,0.555
2006-06,2006,6,22,7511487,0.3913,0.374,7.63,0.798,0.701
2006-07,2006,7,20,6740169,0.3511,0.29,5.89,0.598,0.627
2006-08,2006,8,23,6309661,0.3287,0.22,5.03,0.675,0.57
2006-09,2006,9,20,6441045,0.3355,0.235,4.76,0.658,0.499
2006-10,2006,10,22,6766131,0.3525,0.232,4.87,0.762,0.515
2006-11,2006,11,21,6320039,0.3292,0.229,4.87,0.701,0.496
2006-12,2006,12,20,5026121,0.2618,0.224,4.25,0.572,0.508
2007-01,2007,1,21,7119950,0.3709,0.295,5.73,1.13,0.579
2007-02,2007,2,20,6680859,0.348,0.27,7.68,1.834,0.514
2007-03,2007,3,22,7983570,0.4159,0.286,5.86,0.896,0.594
2007-04,2007,4,21,4974818,0.2592,0.191,3.94,0.394,0.395
2007-05,2007,5,22,7063869,0.368,0.244,4.55,0.702,0.475
2007-06,2007,6,21,7604713,0.3961,0.256,5.37,0.663,0.505
2007-07,2007,7,21,8120222,0.423,0.312,6.52,1.145,0.585
2007-08,2007,8,23,10551899,0.5497,0.51,9.31,1.288,0.864
2007-09,2007,9,19,6184610,0.3222,0.289,6.2,0.931,0.586
2007-10,2007,10,23,8914908,0.4644,0.359,7.27,1.119,0.727
2007-11,2007,11,21,11136694,0.5801,0.646,12.56,1.398,1.126
2007-12,2007,12,20,6031399,0.3142,0.415,8.15,0.955,0.731
2008-01,2008,1,21,11596482,0.6041,0.564,10.78,1.898,1.309
2008-02,2008,2,20,8062613,0.42,0.374,7.21,0.912,0.95
2008-03,2008,3,20,8798276,0.4583,0.6,12.44,1.239,1.115
2008-04,2008,4,22,6974680,0.3633,0.373,8.72,1.303,0.84
2008-05,2008,5,22,7033125,0.3664,0.361,7.71,1.048,0.722
2008-06,2008,6,21,9125531,0.4754,0.54,10.76,1.006,0.972
2008-07,2008,7,23,10147038,0.5286,0.389,7.87,1.214,1.011
2008-08,2008,8,21,7597223,0.3958,0.382,7.85,0.83,0.834
2008-09,2008,9,21,10552984,0.5497,0.852,19.07,3.747,1.531
2008-10,2008,10,23,12282000,0.6398,1.363,27.8,2.85,2.511
2008-11,2008,11,19,7296261,0.3801,1.083,20.09,2.573,1.732
2008-12,2008,12,23,5955606,0.3102,0.527,11.68,2.447,1.159
2009-01,2009,1,20,5702041,0.297,0.529,10.24,1.639,1.112
2009-02,2009,2,19,6783740,0.3534,0.454,9.16,1.086,1.06
2009-03,2009,3,22,8105361,0.4222,0.598,11.37,1.195,1.09
2009-04,2009,4,21,6381613,0.3324,0.428,8.29,0.954,0.9
2009-05,2009,5,20,6236963,0.3249,0.358,7.9,1.157,0.891
2009-06,2009,6,22,6119490,0.3188,0.273,5.88,0.778,0.713
2009-07,2009,7,22,6238277,0.325,0.29,6.45,0.745,0.644
2009-08,2009,8,21,5943514,0.3096,0.313,6.39,0.716,0.695
2009-09,2009,9,21,6179810,0.3219,0.257,5.26,0.965,0.62
2009-10,2009,10,22,7043481,0.3669,0.348,7.32,1.072,0.671
2009-11,2009,11,20,5676433,0.2957,0.313,6.08,1.303,0.643
2009-12,2009,12,22,4980280,0.2594,0.266,4.67,0.674,0.51
2010-01,2010,1,19,6702513,0.3492,0.363,7.07,1.0,0.72
2010-02,2010,2,19,6170647,0.3214,0.292,6.0,0.984,0.632
2010-03,2010,3,23,5847476,0.3046,0.197,3.31,0.485,0.429
2010-04,2010,4,21,5926089,0.3087,0.276,6.04,0.771,0.563
2010-05,2010,5,20,8659018,0.4511,0.682,13.88,4.079,1.425
2010-06,2010,6,22,7370864,0.384,0.482,10.26,1.546,0.946
2010-07,2010,7,21,6902737,0.3596,0.368,7.51,0.976,0.849
2010-08,2010,8,22,6607964,0.3442,0.33,6.84,0.898,0.728
2010-09,2010,9,21,6627552,0.3452,0.308,5.64,0.887,0.646
2010-10,2010,10,21,6244859,0.3253,0.251,5.05,0.704,0.641
2010-11,2010,11,21,6054988,0.3154,0.318,6.92,0.804,0.666
2010-12,2010,12,22,3837966,0.1999,0.173,3.97,1.091,0.436
2011-01,2011,1,20,4982701,0.2596,0.305,6.45,1.176,0.621
2011-02,2011,2,19,4758968,0.2479,0.262,7.01,1.271,0.567
2011-03,2011,3,23,7239220,0.3771,0.418,8.08,1.267,0.829
2011-04,2011,4,20,4908808,0.2557,0.231,4.82,0.948,0.563
2011-05,2011,5,21,5938726,0.3094,0.305,6.05,0.578,0.628
2011-06,2011,6,22,6089175,0.3172,0.419,8.33,0.949,0.727
