slice,year,quarter,trading_days,volume,pct_of_all,mean_vol,hv,vol_range,avg_range
2005Q1,2005,1,55,18006949,0.938,0.23,4.5,0.596,0.499
2005Q2,2005,2,64,18814633,0.9801,0.212,4.19,0.767,0.472
2005Q3,2005,3,64,15275113,0.7957,0.175,3.56,0.875,0.415
2005Q4,2005,4,63,16369854,0.8527,0.218,4.51,0.845,0.442
2006Q1,2006,1,62,19451032,1.0133,0.268,5.56,0.952,0.528
2006Q2,2006,2,63,20348635,1.06,0.307,6.15,0.912,0.584
2006Q3,2006,3,63,19490875,1.0153,0.247,5.27,0.688,0.566
2006Q4,2006,4,63,18112291,0.9435,0.228,4.67,0.797,0.507
2007Q1,2007,1,63,21784379,1.1348,0.284,6.37,1.834,0.564
2007Q2,2007,2,64,19643400,1.0233,0.231,4.62,0.702,0.458
2007Q3,2007,3,63,24856731,1.2949,0.378,7.49,1.453,0.687
2007Q4,2007,4,64,26083001,1.3587,0.471,9.57,1.67,0.859
2008Q1,2008,1,61,28457371,1.4824,0.513,10.38,1.898,1.128
2008Q2,2008,2,65,23133336,1.2051,0.423,9.28,1.49,0.843
2008Q3,2008,3,65,28297245,1.4741,0.536,12.62,4.075,1.122
2008Q4,2008,4,65,25533867,1.3301,0.986,20.74,3.919,1.805
2009Q1,2009,1,61,20591142,1.0726,0.531,10.29,1.658,1.088
2009Q2,2009,2,63,18738066,0.9761,0.351,7.34,1.246,0.832
2009Q3,2009,3,64,18361601,0.9565,0.287,6.01,0.965,0.653
2009Q4,2009,4,64,17700194,0.922,0.309,6.13,1.355,0.607
2010Q1,2010,1,61,18720636,0.9752,0.278,5.76,1.062,0.583
2010Q2,2010,2,63,21955971,1.1437,0.476,10.4,4.563,0.97
2010Q3,2010,3,64,20138253,1.0491,0.335,6.95,1.091,0.741
2010Q4,2010,4,64,16137813,0.8407,0.246,5.41,1.091,0.579
2011Q1,2011,1,62,16980889,0.8846,0.334,7.17,1.307,0.681
2011Q2,2011,2,63,16936709,0.8823,0.321,6.55,1.125,0.642
2011Q3,2011,3,64,21360818,1.1127,0.653,13.94,3.332,1.26
2011Q4,2011,4,63,16510327,0.8601,0.576,11.41,1.645,1.037
2012Q1,2012,1,62,13094133,0.6821,0.242,4.57,0.724,0.537
2012Q2,2012,2,64,17364132,0.9045,0.468,9.49,1.29,0.847
2012Q3,2012,3,64,13532768,0.705,0.311,6.6,1.1,0.623
2012Q4,2012,4,64,16108582,0.8391,0.366,7.54,1.31,0.728
2013Q1,2013,1,61,13108552,0.6829,0.26,5.72,1.285,0.531
2013Q2,2013,2,64,15347700,0.7995,0.354,7.14,1.126,0.695
2013Q3,2013,3,64,13383231,0.6972,0.255,5.31,0.998,0.549
2013Q4,2013,4,64,14521614,0.7565,0.304,6.06,1.277,0.574
2014Q1,2014,1,61,17349479,0.9038,0.378,7.59,1.413,0.747
2014Q2,2014,2,63,17683791,0.9212,0.336,7.45,1.852,0.698
2014Q3,2014,3,64,16211254,0.8445,0.294,6.11,1.097,0.588
2014Q4,2014,4,64,20033342,1.0436,0.447,9.52,1.775,0.842
2015Q1,2015,1,61,16015270,0.8343,0.441,8.82,1.524,0.844
2015Q2,2015,2,64,13256853,0.6906,0.379,7.9,1.005,0.724
2015Q3,2015,3,64,18922864,0.9857,0.639,14.11,3.701,1.219
2015Q4,2015,4,64,15490220,0.8069,0.491,10.1,1.832,0.905
2016Q1,2016,1,61,19918798,1.0376,0.6,13.16,2.301,1.325
2016Q2,2016,2,64,15116803,0.7875,0.445,9.9,3.241,0.844
2016Q3,2016,3,64,13462723,0.7013,0.296,6.53,1.584,0.608
2016Q4,2016,4,63,13807568,0.7193,0.346,7.4,3.283,0.77
2017Q1,2017,1,62,11993637,0.6248,0.23,4.28,1.101,0.482
2017Q2,2017,2,63,17171040,0.8945,0.353,8.13,2.505,0.676
2017Q3,2017,3,63,18783578,0.9785,0.35,7.47,1.448,0.722
2017Q4,2017,4,63,17291178,0.9007,0.27,6.27,1.377,0.617
2018Q1,2018,1,61,28108568,1.4642,0.784,16.79,4.12,1.415
2018Q2,2018,2,64,24974697,1.301,0.57,11.77,2.485,1.166
