hour_et,volume,pct_of_all,mean_vol,hv,vol_range,avg_range
0,6690853,0.349,0.04,1.25,3.206,0.084
1,8116392,0.423,0.047,1.47,2.855,0.096
2,12960571,0.675,0.062,1.69,1.705,0.126
3,25341183,1.32,0.09,2.31,2.555,0.182
4,22387613,1.166,0.08,2.02,2.208,0.16
5,18305565,0.954,0.068,1.73,2.33,0.139
6,18471348,0.962,0.064,1.69,2.169,0.135
7,25161268,1.311,0.076,1.94,2.752,0.153
8,52495155,2.735,0.107,3.2,5.449,0.213
9,252761185,13.167,0.183,4.32,4.916,0.367
10,329104792,17.144,0.201,4.67,3.303,0.402
11,226804924,11.815,0.152,3.68,3.406,0.308
12,167238562,8.712,0.126,3.15,2.825,0.261
13,151639321,7.899,0.125,3.08,3.661,0.255
14,176573217,9.198,0.136,3.39,4.091,0.283
15,216585236,11.282,0.153,4.01,4.182,0.308
16,111729558,5.82,0.11,2.91,2.472,0.207
17,1193058,0.062,0.016,0.47,0.687,0.032
18,10257724,0.534,0.062,2.04,3.655,0.128
19,8819399,0.459,0.049,1.5,1.716,0.099
20,12301863,0.641,0.062,1.7,1.781,0.123
21,11868687,0.618,0.056,1.73,3.229,0.115
22,9541713,0.497,0.048,1.51,2.764,0.1
23,7355677,0.383,0.041,1.18,1.598,0.085
