slice,year,month,trading_days,volume,pct_of_all
2005-01,2005,1,14,4934992,0.2571
2005-02,2005,2,19,6146733,0.3202
2005-03,2005,3,22,6925224,0.3608
2005-04,2005,4,21,7255557,0.378
2005-05,2005,5,21,5732308,0.2986
2005-06,2005,6,22,5826768,0.3035
2005-07,2005,7,20,4894941,0.255
2005-08,2005,8,23,5163337,0.269
2005-09,2005,9,21,5216835,0.2718
2005-10,2005,10,21,6581566,0.3429
2005-11,2005,11,21,5285526,0.2753
2005-12,2005,12,21,4502762,0.2346
2006-01,2006,1,20,6626257,0.3452
2006-02,2006,2,19,5794119,0.3018
2006-03,2006,3,23,7030656,0.3662
2006-04,2006,4,19,5457341,0.2843
2006-05,2006,5,22,7379807,0.3844
2006-06,2006,6,22,7511487,0.3913
2006-07,2006,7,20,6740169,0.3511
2006-08,2006,8,23,6309661,0.3287
2006-09,2006,9,20,6441045,0.3355
2006-10,2006,10,22,6766131,0.3525
2006-11,2006,11,21,6320039,0.3292
2006-12,2006,12,20,5026121,0.2618
2007-01,2007,1,21,7119950,0.3709
2007-02,2007,2,20,6680859,0.348
2007-03,2007,3,22,7983570,0.4159
2007-04,2007,4,21,4974818,0.2592
2007-05,2007,5,22,7063869,0.368
2007-06,2007,6,21,7604713,0.3961
2007-07,2007,7,21,8120222,0.423
2007-08,2007,8,23,10551899,0.5497
2007-09,2007,9,19,6184610,0.3222
2007-10,2007,10,23,8914908,0.4644
2007-11,2007,11,21,11136694,0.5801
2007-12,2007,12,20,6031399,0.3142
2008-01,2008,1,21,11596482,0.6041
2008-02,2008,2,20,8062613,0.42
2008-03,2008,3,20,8798276,0.4583
2008-04,2008,4,22,6974680,0.3633
2008-05,2008,5,22,7033125,0.3664
2008-06,2008,6,21,9125531,0.4754
2008-07,2008,7,23,10147038,0.5286
2008-08,2008,8,21,7597223,0.3958
2008-09,2008,9,21,10552984,0.5497
2008-10,2008,10,23,12282000,0.6398
2008-11,2008,11,19,7296261,0.3801
2008-12,2008,12,23,5955606,0.3102
2009-01,2009,1,20,5702041,0.297
2009-02,2009,2,19,6783740,0.3534
2009-03,2009,3,22,8105361,0.4222
2009-04,2009,4,21,6381613,0.3324
2009-05,2009,5,20,6236963,0.3249
2009-06,2009,6,22,6119490,0.3188
2009-07,2009,7,22,6238277,0.325
2009-08,2009,8,21,5943514,0.3096
2009-09,2009,9,21,6179810,0.3219
2009-10,2009,10,22,7043481,0.3669
2009-11,2009,11,20,5676433,0.2957
2009-12,2009,12,22,4980280,0.2594
2010-01,2010,1,19,6702513,0.3492
2010-02,2010,2,19,6170647,0.3214
2010-03,2010,3,23,5847476,0.3046
2010-04,2010,4,21,5926089,0.3087
2010-05,2010,5,20,8659018,0.4511
2010-06,2010,6,22,7370864,0.384
2010-07,2010,7,21,6902737,0.3596
2010-08,2010,8,22,6607964,0.3442
2010-09,2010,9,21,6627552,0.3452
2010-10,2010,10,21,6244859,0.3253
2010-11,2010,11,21,6054988,0.3154
2010-12,2010,12,22,3837966,0.1999
2011-01,2011,1,20,4982701,0.2596
2011-02,2011,2,19,4758968,0.2479
2011-03,2011,3,23,7239220,0.3771
2011-04,2011,4,20,4908808,0.2557
2011-05,2011,5,21,5938726,0.3094
2011-06,2011,6,22,6089175,0.3172
2011-07,2011,7,20,5268787,0.2745
2011-08,2011,8,23,8870184,0.4621
2011-09,2011,9,21,7221847,0.3762
2011-10,2011,10,21,6812541,0.3549
2011-11,2011,11,21,5804709,0.3024
2011-12,2011,12,21,3893077,0.2028
2012-01,2012,1,20,3622979,0.1887
2012-02,2012,2,20,4272002,0.2225
2012-03,2012,3,22,5199152,0.2708
2012-04,2012,4,21,5653930,0.2945
2012-05,2012,5,22,6425137,0.3347
2012-06,2012,6,21,5285065,0.2753
2012-07,2012,7,21,4852082,0.2528
2012-08,2012,8,23,4445605,0.2316
2012-09,2012,9,20,4235081,0.2206
2012-10,2012,10,23,5577603,0.2906
2012-11,2012,11,21,5842629,0.3044
2012-12,2012,12,20,4688350,0.2442
2013-01,2013,1,21,4419673,0.2302
2013-02,2013,2,19,4350567,0.2266
2013-03,2013,3,21,4338312,0.226
2013-04,2013,4,22,5224810,0.2722
2013-05,2013,5,22,4539251,0.2365
2013-06,2013,6,20,5583639,0.2909
2013-07,2013,7,22,4221402,0.2199
2013-08,2013,8,22,4679452,0.2438
2013-09,2013,9,20,4482377,0.2335
2013-10,2013,10,23,6073438,0.3164
2013-11,2013,11,20,4273900,0.2226
2013-12,2013,12,21,4174276,0.2174
2014-01,2014,1,21,5637514,0.2937
2014-02,2014,2,19,5220912,0.272
2014-03,2014,3,21,6491053,0.3381
2014-04,2014,4,21,7764368,0.4045
2014-05,2014,5,21,5523271,0.2877
2014-06,2014,6,21,4396152,0.229
2014-07,2014,7,22,5297117,0.2759
2014-08,2014,8,21,4756416,0.2478
2014-09,2014,9,21,6157721,0.3208
2014-10,2014,10,23,10098897,0.5261
2014-11,2014,11,19,4001590,0.2085
2014-12,2014,12,22,5932855,0.3091
2015-01,2015,1,20,6832557,0.3559
2015-02,2015,2,19,3982918,0.2075
2015-03,2015,3,22,5199795,0.2709
2015-04,2015,4,22,4615552,0.2404
2015-05,2015,5,20,3878048,0.202
2015-06,2015,6,22,4763253,0.2481
2015-07,2015,7,22,5098591,0.2656
2015-08,2015,8,21,7403507,0.3857
2015-09,2015,9,21,6420766,0.3345
2015-10,2015,10,22,5775819,0.3009
2015-11,2015,11,20,4423547,0.2304
2015-12,2015,12,22,5290854,0.2756
2016-01,2016,1,19,8219688,0.4282
2016-02,2016,2,20,6808865,0.3547
2016-03,2016,3,22,4890245,0.2547
2016-04,2016,4,21,5005508,0.2607
2016-05,2016,5,21,4807424,0.2504
2016-06,2016,6,22,5303871,0.2763
2016-07,2016,7,20,3856103,0.2009
2016-08,2016,8,23,4050048,0.211
2016-09,2016,9,21,5556572,0.2895
2016-10,2016,10,21,4708695,0.2453
2016-11,2016,11,21,5385003,0.2805
2016-12,2016,12,21,3713870,0.1935
2017-01,2017,1,20,3621653,0.1887
2017-02,2017,2,19,3393613,0.1768
2017-03,2017,3,23,4978371,0.2593
2017-04,2017,4,19,4373600,0.2278
2017-05,2017,5,22,5117422,0.2666
2017-06,2017,6,22,7680018,0.4001
2017-07,2017,7,20,5519190,0.2875
2017-08,2017,8,23,7457583,0.3885
2017-09,2017,9,20,5806805,0.3025
2017-10,2017,10,22,5488235,0.2859
2017-11,2017,11,21,6320415,0.3292
2017-12,2017,12,20,5482528,0.2856
2018-01,2018,1,21,6986062,0.3639
2018-02,2018,2,19,10357147,0.5395
2018-03,2018,3,21,10765359,0.5608
2018-04,2018,4,21,10186845,0.5307
2018-05,2018,5,22,7499814,0.3907
2018-06,2018,6,21,7288038,0.3797
2018-07,2018,7,21,7416473,0.3863
2018-08,2018,8,23,7429543,0.387
2018-09,2018,9,19,8075677,0.4207
2018-10,2018,10,23,16641451,0.8669
2018-11,2018,11,21,12919063,0.673
2018-12,2018,12,19,12462376,0.6492
2019-01,2019,1,21,10832444,0.5643
2019-02,2019,2,19,7657275,0.3989
2019-03,2019,3,21,9271577,0.483
2019-04,2019,4,21,8155962,0.4249
2019-05,2019,5,22,12951846,0.6747
2019-06,2019,6,20,8213413,0.4279
2019-07,2019,7,22,7801205,0.4064
2019-08,2019,8,22,13640470,0.7106
2019-09,2019,9,20,8279987,0.4313
2019-10,2019,10,23,9501648,0.495
2019-11,2019,11,20,6655581,0.3467
2019-12,2019,12,21,6714380,0.3498
2020-01,2020,1,21,12184128,0.6347
2020-02,2020,2,19,15540642,0.8096
2020-03,2020,3,22,15353529,0.7998
2020-04,2020,4,21,9050932,0.4715
2020-05,2020,5,20,9142724,0.4763
2020-06,2020,6,22,9361891,0.4877
2020-07,2020,7,22,12204377,0.6358
2020-08,2020,8,21,9456616,0.4926
2020-09,2020,9,21,12987766,0.6766
2020-10,2020,10,22,13393961,0.6977
2020-11,2020,11,20,10267092,0.5348
2020-12,2020,12,22,7670916,0.3996
2021-01,2021,1,19,10174343,0.53
2021-02,2021,2,19,10772215,0.5612
2021-03,2021,3,23,13052666,0.6799
2021-04,2021,4,21,10080946,0.5251
2021-05,2021,5,20,10546259,0.5494
2021-06,2021,6,22,9101959,0.4741
