slice,year,quarter,trading_days,volume,pct_of_all
2005Q1,2005,1,55,18006949,0.938
2005Q2,2005,2,64,18814633,0.9801
2005Q3,2005,3,64,15275113,0.7957
2005Q4,2005,4,63,16369854,0.8527
2006Q1,2006,1,62,19451032,1.0133
2006Q2,2006,2,63,20348635,1.06
2006Q3,2006,3,63,19490875,1.0153
2006Q4,2006,4,63,18112291,0.9435
2007Q1,2007,1,63,21784379,1.1348
2007Q2,2007,2,64,19643400,1.0233
2007Q3,2007,3,63,24856731,1.2949
2007Q4,2007,4,64,26083001,1.3587
2008Q1,2008,1,61,28457371,1.4824
2008Q2,2008,2,65,23133336,1.2051
2008Q3,2008,3,65,28297245,1.4741
2008Q4,2008,4,65,25533867,1.3301
2009Q1,2009,1,61,20591142,1.0726
2009Q2,2009,2,63,18738066,0.9761
2009Q3,2009,3,64,18361601,0.9565
2009Q4,2009,4,64,17700194,0.922
2010Q1,2010,1,61,18720636,0.9752
2010Q2,2010,2,63,21955971,1.1437
2010Q3,2010,3,64,20138253,1.0491
2010Q4,2010,4,64,16137813,0.8407
2011Q1,2011,1,62,16980889,0.8846
2011Q2,2011,2,63,16936709,0.8823
2011Q3,2011,3,64,21360818,1.1127
2011Q4,2011,4,63,16510327,0.8601
2012Q1,2012,1,62,13094133,0.6821
2012Q2,2012,2,64,17364132,0.9045
2012Q3,2012,3,64,13532768,0.705
2012Q4,2012,4,64,16108582,0.8391
2013Q1,2013,1,61,13108552,0.6829
2013Q2,2013,2,64,15347700,0.7995
2013Q3,2013,3,64,13383231,0.6972
2013Q4,2013,4,64,14521614,0.7565
2014Q1,2014,1,61,17349479,0.9038
2014Q2,2014,2,63,17683791,0.9212
2014Q3,2014,3,64,16211254,0.8445
2014Q4,2014,4,64,20033342,1.0436
2015Q1,2015,1,61,16015270,0.8343
2015Q2,2015,2,64,13256853,0.6906
2015Q3,2015,3,64,18922864,0.9857
2015Q4,2015,4,64,15490220,0.8069
2016Q1,2016,1,61,19918798,1.0376
2016Q2,2016,2,64,15116803,0.7875
2016Q3,2016,3,64,13462723,0.7013
2016Q4,2016,4,63,13807568,0.7193
2017Q1,2017,1,62,11993637,0.6248
2017Q2,2017,2,63,17171040,0.8945
2017Q3,2017,3,63,18783578,0.9785
2017Q4,2017,4,63,17291178,0.9007
2018Q1,2018,1,61,28108568,1.4642
2018Q2,2018,2,64,24974697,1.301
2018Q3,2018,3,63,22921693,1.1941
2018Q4,2018,4,63,42022890,2.1891
2019Q1,2019,1,61,27761296,1.4462
2019Q2,2019,2,63,29321221,1.5274
2019Q3,2019,3,64,29721662,1.5483
2019Q4,2019,4,64,22871609,1.1914
2020Q1,2020,1,62,43078299,2.2441
2020Q2,2020,2,63,27555547,1.4354
2020Q3,2020,3,64,34648759,1.8049
2020Q4,2020,4,64,31331969,1.6322
2021Q1,2021,1,61,33999224,1.7711
2021Q2,2021,2,63,29729164,1.5487
2021Q3,2021,3,64,32762366,1.7067
2021Q4,2021,4,64,35269650,1.8373
2022Q1,2022,1,62,43842217,2.2839
2022Q2,2022,2,62,41312889,2.1521
2022Q3,2022,3,64,41458889,2.1597
2022Q4,2022,4,63,40632223,2.1166
2023Q1,2023,1,62,39914768,2.0793
2023Q2,2023,2,63,38654409,2.0136
2023Q3,2023,3,63,39452905,2.0552
2023Q4,2023,4,63,40304184,2.0995
2024Q1,2024,1,61,40547259,2.1122
2024Q2,2024,2,63,39555982,2.0606
2024Q3,2024,3,64,38455388,2.0032
2024Q4,2024,4,64,32689092,1.7029
