year,trading_days,volume,pct_of_all
2005,246,68466549,3.567
2006,251,77402833,4.032
2007,254,92367511,4.812
2008,256,105421819,5.492
2009,252,75391003,3.927
2010,252,76952673,4.009
2011,252,71788743,3.74
2012,254,60099615,3.131
2013,253,56361097,2.936
2014,252,71277866,3.713
2015,253,63685207,3.318
2016,252,62305892,3.246
2017,251,65239433,3.398
2018,251,118027848,6.148
2019,252,109675788,5.713
2020,253,136614574,7.117
2021,252,131760404,6.864
2022,251,167246218,8.712
2023,251,158326266,8.248
2024,252,151247721,7.879
